team_class,game_pk,game_date,time,place,team_1_name,team_1_score,team_2_name,team_2_score
31,21822,2020-06-12,09:30,목동야구장,광주제일고,0,강릉고,5
31,21841,2020-06-16,18:30,목동야구장,서울컨벤션고,7,강릉고,11
31,21926,2020-06-18,11:00,목동야구장,경기상업고,3,강릉고,4
31,21930,2020-06-20,09:30,목동야구장,강릉고,9,대전고,3
31,21932,2020-06-22,18:30,목동야구장,김해고,4,강릉고,3
31,21968,2020-06-27,14:30,설악야구장,백송고,9,강릉고,10
31,21970,2020-06-28,12:00,설악야구장,강원고,4,강릉고,9
31,22017,2020-07-05,09:30,원주 태장공원 야구장,상우고,5,강릉고,9
31,22099,2020-07-11,12:00,곤지암 팀업캠퍼스 제1구장,강릉고,7,설악고,4
31,22103,2020-07-12,14:30,곤지암 팀업캠퍼스 제2구장,강릉고,7,원주고,3
31,22104,2020-07-15,09:30,곤지암 팀업캠퍼스 제2구장,강릉고,1,청담고,4
31,22290,2020-08-02,12:00,설악야구장,인창고,0,강릉고,9
31,22572,2020-08-13,09:30,신월 야구공원,순천효천고,0,강릉고,6
31,22646,2020-08-17,12:30,목동야구장,강릉고,13,신흥고,2
31,22669,2020-08-19,09:30,목동야구장,경남고,0,강릉고,7
31,22706,2020-08-20,11:30,목동야구장,서울디자인고,0,강릉고,9
31,22746,2020-08-22,14:00,목동야구장,강릉고,7,신일고,2
31,22744,2020-08-23,12:00,이천종합운동장 꿈의구장,율곡고,6,강릉고,4
31,23004,2020-09-10,14:30,곤지암 팀업캠퍼스 제2구장,강릉고,6,강원고,2
31,23186,2020-09-12,09:30,설악야구장,설악고,2,강릉고,7
31,23190,2020-09-13,12:00,설악야구장,강릉고,8,원주고,1
31,23195,2020-09-16,14:30,곤지암 팀업캠퍼스 제1구장,강릉고,7,안산공업고,0
31,23270,2020-10-19,12:30,목동야구장,강릉고,9,성남고,1
31,23320,2020-10-24,15:30,신월 야구공원,강릉고,2,야탑고,1
31,23334,2020-10-27,09:30,목동야구장,강릉고,3,충암고,9
31,21835,2020-06-15,12:30,목동야구장,우신고,0,강원고,7
31,21842,2020-06-17,12:30,목동야구장,부경고,10,강원고,9
31,21966,2020-06-27,09:30,설악야구장,설악고,2,강원고,3
31,22014,2020-07-04,09:30,원주 태장공원 야구장,원주고,10,강원고,2
31,22018,2020-07-05,12:00,원주 태장공원 야구장,강원고,0,청담고,11
31,22100,2020-07-11,14:30,곤지암 팀업캠퍼스 제2구장,백송고,3,강원고,1
31,22106,2020-07-15,14:30,곤지암 팀업캠퍼스 제2구장,강원고,1,상우고,8
31,22289,2020-08-02,09:30,설악야구장,강원고,9,설악고,6
31,22668,2020-08-19,16:00,횡성 베이스볼 테마파크 제1구장,경주고,3,강원고,2
31,23192,2020-09-15,13:00,곤지암 팀업캠퍼스 제1구장,안산공업고,10,강원고,2
31,23194,2020-09-16,12:00,곤지암 팀업캠퍼스 제1구장,강원고,3,율곡고,10
31,23223,2020-09-18,11:30,설악야구장,강원고,8,인창고,15
31,23197,2020-09-19,09:30,설악야구장,원주고,14,강원고,5
31,23251,2020-10-16,12:30,목동야구장,중앙고,12,강원고,5
31,21899,2020-06-20,14:00,기장 현대차 드림 볼파크,제주고,2,개성고,11
31,21951,2020-06-27,09:30,기장 현대차 드림 볼파크,개성고,9,경남고,5
31,21991,2020-07-04,12:00,기장 현대차 드림 볼파크,부산정보고,5,개성고,8
31,22068,2020-07-11,09:30,기장 현대차 드림 볼파크,개성고,6,부산공업고,3
31,22073,2020-07-12,14:30,기장 현대차 드림 볼파크,부경고,6,개성고,4
31,22167,2020-07-18,12:00,기장 현대차 드림 볼파크,개성고,4,부산고,5
31,22305,2020-07-27,09:30,목동야구장,개성고,1,서울디자인고,11
31,22256,2020-08-01,09:30,기장 현대차 드림 볼파크,경남고,12,개성고,4
31,22260,2020-08-02,12:00,기장 현대차 드림 볼파크,부경고,2,개성고,9
31,22569,2020-08-13,09:30,목동야구장,개성고,1,배명고,8
31,22992,2020-09-10,14:00,개성고등학교 야구장,개성고,8,부산고,7
31,22994,2020-09-11,11:30,개성고등학교 야구장,제주고,0,개성고,7
31,23104,2020-09-14,14:00,개성고등학교 야구장,개성고,7,부산공업고,5
31,23110,2020-09-18,14:00,개성고등학교 야구장,개성고,0,부산정보고,4
31,23255,2020-10-16,15:30,신월 야구공원,순천효천고,7,개성고,1
31,21876,2020-06-21,09:30,구의 야구공원,선린인터넷고,7,경기고,3
31,21939,2020-06-27,09:30,신월 야구공원,서울디자인고,4,경기고,1
31,21944,2020-06-28,14:30,목동야구장,경기고,1,서울고,4
31,21982,2020-07-05,12:00,목동야구장,경기고,10,성지고,0
31,22052,2020-07-11,14:30,목동야구장,경기고,10,서울컨벤션고,1
31,22055,2020-07-12,14:30,구의 야구공원,배재고,4,경기고,7
31,22203,2020-07-20,11:30,목동야구장,경기고,5,장충고,4
31,22037,2020-07-24,15:30,신월 야구공원,경기고,3,물금고,6
31,22238,2020-08-01,09:30,구의 야구공원,청원고,13,경기고,10
31,22660,2020-08-18,10:00,횡성 베이스볼 테마파크 제1구장,부천고,5,경기고,9
31,22723,2020-08-21,15:30,횡성 베이스볼 테마파크 제2구장,경기항공고,2,경기고,3
31,22763,2020-08-25,12:30,횡성 베이스볼 테마파크 제2구장,물금고,5,경기고,4
31,23041,2020-09-10,14:30,목동야구장,신일고,4,경기고,2
31,23044,2020-09-13,09:30,목동야구장,경기고,6,경기상업고,5
31,23221,2020-09-14,16:30,목동야구장,경기고,4,충암고,8
31,23049,2020-09-15,14:30,목동야구장,성남고,8,경기고,0
31,23210,2020-09-17,10:00,목동야구장,경기고,6,동산정보산업고,7
31,23073,2020-09-19,14:00,목동야구장,경기고,11,휘문고,0
31,23278,2020-10-20,09:30,신월 야구공원,덕수고,9,경기고,4
31,21815,2020-06-11,15:30,목동야구장,인천고,1,경기상업고,2
31,21825,2020-06-13,09:30,목동야구장,경남고,0,경기상업고,2
31,21840,2020-06-16,15:30,목동야구장,경주고,4,경기상업고,5
31,21989,2020-07-05,14:30,신월 야구공원,인천고,5,경기상업고,0
31,22056,2020-07-11,09:30,신월 야구공원,경동고,7,경기상업고,6
31,22060,2020-07-12,12:00,신월 야구공원,충암고,8,경기상업고,5
31,22112,2020-07-15,14:30,송도LNG 종합스포츠타운 야구장,경기상업고,5,덕수고,9
31,22134,2020-07-18,16:30,송도LNG 종합스포츠타운 야구장,경기상업고,2,동산고,9
31,22200,2020-07-20,14:00,송도LNG 종합스포츠타운 야구장,동산정보산업고,2,경기상업고,7
31,22152,2020-07-21,09:30,송도LNG 종합스포츠타운 야구장,경기상업고,2,제물포고,18
31,22722,2020-08-21,12:30,횡성 베이스볼 테마파크 제2구장,물금고,1,경기상업고,0
31,22737,2020-08-23,12:00,신월 야구공원,경기상업고,6,휘문고,7
31,23039,2020-09-10,09:30,목동야구장,경기상업고,11,동산정보산업고,0
31,23202,2020-09-12,12:00,신월 야구공원,청원고,3,경기상업고,11
31,23051,2020-09-16,12:00,신월 야구공원,경기상업고,12,신일고,4
31,23068,2020-09-18,09:30,신월 야구공원,경기상업고,6,충암고,9
31,23072,2020-09-19,11:30,목동야구장,성남고,7,경기상업고,5
31,23281,2020-10-18,12:30,목동야구장,제주고,0,경기상업고,10
31,23318,2020-10-24,09:30,신월 야구공원,경기상업고,0,중앙고,7
31,21826,2020-06-13,12:30,목동야구장,서울컨벤션고,15,경기항공고,13
31,22022,2020-07-04,14:30,탄천 종합운동장 야구장,경기항공고,5,소래고,13
31,22024,2020-07-05,12:00,곤지암 팀업캠퍼스 제1구장,장안고,14,경기항공고,10
31,22080,2020-07-11,09:30,이천종합운동장 꿈의구장,경기항공고,5,신흥고,12
31,22083,2020-07-12,09:30,배나물야구장(안산시야구장),라온고,5,경기항공고,1
31,22087,2020-07-15,12:00,이천종합운동장 꿈의구장,경기항공고,4,비봉고,11
31,22183,2020-07-18,14:30,곤지암 팀업캠퍼스 제2구장,진영고,8,경기항공고,9
31,22274,2020-08-01,09:30,곤지암 팀업캠퍼스 제2구장,경기항공고,4,진영고,6
31,22742,2020-08-23,14:30,배나물야구장(안산시야구장),부천고,12,경기항공고,3
31,23005,2020-09-11,09:30,배나물야구장(안산시야구장),비봉고,2,경기항공고,1
31,23161,2020-09-13,14:30,곤지암 팀업캠퍼스 제1구장,경기항공고,1,신흥고,9
31,23163,2020-09-14,12:00,배나물야구장(안산시야구장),경기항공고,5,충훈고,6
31,23167,2020-09-17,12:00,곤지암 팀업캠퍼스 제2구장,라온고,6,경기항공고,5
31,23250,2020-10-16,09:30,목동야구장,경기항공고,4,청원고,3
31,23304,2020-10-21,15:30,신월 야구공원,경기항공고,1,인천고,7
31,21897,2020-06-20,11:00,기장 현대차 드림 볼파크,부산정보고,3,경남고,6
31,21992,2020-07-04,14:30,기장 현대차 드림 볼파크,경남고,16,제주고,1
31,21993,2020-07-05,09:30,기장 현대차 드림 볼파크,부경고,6,경남고,8
31,22069,2020-07-11,12:00,기장 현대차 드림 볼파크,경남고,1,부산고,3
31,22168,2020-07-18,15:00,기장 현대차 드림 볼파크,경남고,2,부산공업고,3
31,22259,2020-08-02,09:30,기장 현대차 드림 볼파크,부산고,3,경남고,8
31,22570,2020-08-13,12:30,목동야구장,광주진흥고,4,경남고,13
31,22645,2020-08-17,09:30,목동야구장,경남고,5,배명고,4
31,22990,2020-09-10,09:00,개성고등학교 야구장,경남고,8,부경고,6
31,22995,2020-09-11,14:00,개성고등학교 야구장,부산공업고,4,경남고,11
31,23107,2020-09-17,14:00,개성고등학교 야구장,부산정보고,8,경남고,6
31,23111,2020-09-19,10:00,개성고등학교 야구장,경남고,13,제주고,1
31,23302,2020-10-21,09:30,신월 야구공원,경남고,5,서울컨벤션고,0
31,23330,2020-10-26,15:30,목동야구장,세광고,10,경남고,3
31,21985,2020-07-04,12:00,신월 야구공원,덕수고,4,경동고,14
31,22061,2020-07-12,14:30,신월 야구공원,경동고,5,제물포고,9
31,22109,2020-07-14,14:30,송도LNG 종합스포츠타운 야구장,경동고,10,동산정보산업고,1
31,22111,2020-07-15,12:00,송도LNG 종합스포츠타운 야구장,동산고,8,경동고,1
31,22131,2020-07-18,09:00,송도LNG 종합스포츠타운 야구장,인천고,9,경동고,4
31,22199,2020-07-20,11:30,송도LNG 종합스포츠타운 야구장,충암고,4,경동고,0
31,22301,2020-07-26,15:30,목동야구장,순천효천고,5,경동고,4
31,22544,2020-08-08,09:30,신월 야구공원,동산고,7,경동고,2
31,22662,2020-08-18,16:00,횡성 베이스볼 테마파크 제1구장,유신고,10,경동고,3
31,22739,2020-08-23,09:30,송도LNG 종합스포츠타운 야구장,경동고,4,제물포고,0
31,23053,2020-09-10,09:30,송도LNG 종합스포츠타운 야구장,중앙고,11,경동고,2
31,23019,2020-09-11,14:30,송도LNG 종합스포츠타운 야구장,경동고,3,장충고,8
31,23060,2020-09-14,14:30,송도LNG 종합스포츠타운 야구장,경동고,5,인천고,6
31,23077,2020-09-16,14:30,송도LNG 종합스포츠타운 야구장,성지고,1,경동고,2
31,23079,2020-09-17,11:30,송도LNG 종합스포츠타운 야구장,경동고,0,배재고,12
31,23303,2020-10-21,12:30,신월 야구공원,경동고,9,부산정보고,3
31,23331,2020-10-26,18:30,목동야구장,경동고,1,서울고,9
31,21814,2020-06-11,12:30,목동야구장,경북고,6,비봉고,5
