team_class,game_pk,game_date,time,place,team_1_name,team_1_score,team_2_name,team_2_score
41,22334,2020-07-01,09:00,원주 태장공원 야구장,강릉영동대,12,제주국제대,0
41,22339,2020-07-02,14:00,원주 태장공원 야구장,제주관광대,4,강릉영동대,4
41,22341,2020-07-08,11:30,원주 태장공원 야구장,강릉영동대,13,여주대,12
41,22345,2020-07-09,14:00,원주 태장공원 야구장,강릉영동대,3,건국대,1
41,22346,2020-07-10,09:00,원주 태장공원 야구장,중앙대,4,강릉영동대,5
41,22388,2020-07-15,14:30,보은스포츠파크 야구장,사이버한국외대,0,강릉영동대,8
41,22403,2020-07-19,11:30,보은스포츠파크 야구장,동국대,1,강릉영동대,2
41,22466,2020-07-30,14:00,원주 태장공원 야구장,강릉영동대,13,제주관광대,0
41,22469,2020-07-31,11:30,원주 태장공원 야구장,여주대,1,강릉영동대,12
41,22501,2020-08-04,14:00,원주 태장공원 야구장,건국대,8,강릉영동대,2
41,22502,2020-08-05,09:00,원주 태장공원 야구장,강릉영동대,11,중앙대,1
41,22422,2020-08-07,14:00,천안 독립야구장,제주국제대,2,강릉영동대,6
41,22653,2020-08-18,17:00,보은스포츠파크 야구장,강릉영동대,9,고려대,4
41,22673,2020-08-20,12:30,보은스포츠파크 야구장,강릉영동대,0,단국대,12
41,23231,2020-09-22,16:30,군산월명야구장,홍익대,1,강릉영동대,9
41,23246,2020-09-24,11:30,군산월명야구장,강릉영동대,9,경성대,3
41,23247,2020-09-25,09:30,군산월명야구장,원광대,2,강릉영동대,3
41,23249,2020-09-26,10:00,군산월명야구장,강릉영동대,3,한일장신대,5
41,23298,2020-10-27,16:30,횡성 베이스볼 테마파크 제2구장,제주국제대,0,강릉영동대,4
41,23351,2020-10-28,14:00,횡성 베이스볼 테마파크 제2구장,유원대,2,강릉영동대,10
41,23356,2020-10-29,10:00,횡성 베이스볼 테마파크 제2구장,연세대,3,강릉영동대,6
41,23360,2020-10-31,10:00,횡성 베이스볼 테마파크 제2구장,강릉영동대,10,단국대,2
41,23367,2020-11-01,13:00,횡성 베이스볼 테마파크 제2구장,원광대,6,강릉영동대,5
41,22336,2020-07-01,14:00,원주 태장공원 야구장,건국대,3,제주관광대,2
41,22337,2020-07-02,09:00,원주 태장공원 야구장,여주대,14,건국대,15
41,22342,2020-07-08,14:00,원주 태장공원 야구장,중앙대,10,건국대,3
41,22347,2020-07-10,11:30,원주 태장공원 야구장,건국대,2,제주국제대,5
41,22406,2020-07-21,09:00,보은스포츠파크 야구장,한일장신대,1,건국대,6
41,22464,2020-07-30,09:00,원주 태장공원 야구장,건국대,4,여주대,1
41,22470,2020-07-31,14:00,원주 태장공원 야구장,건국대,3,중앙대,2
41,22424,2020-08-01,13:00,원주 태장공원 야구장,제주관광대,5,건국대,7
41,22503,2020-08-05,11:30,원주 태장공원 야구장,제주국제대,9,건국대,6
41,22640,2020-08-17,17:00,보은스포츠파크 야구장,건국대,10,홍익대,3
41,22656,2020-08-18,11:30,보은스포츠파크 야구장,연세대,3,건국대,5
41,22671,2020-08-20,10:00,보은스포츠파크 야구장,건국대,5,성균관대,4
41,22738,2020-08-21,10:00,보은스포츠파크 야구장,건국대,2,단국대,7
41,23225,2020-09-21,11:30,군산월명야구장,건국대,4,호원대,1
